Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);F1/tiempo promedio;direccion_a_cascada;escala_inicial;tamanio_minimo;tamanio_maximo;convertir_a_gris;ecualizar_histograma;scaleFactor;minNeighbors;usar_profundidad_altura;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DF_ei_01;set1_reales;24;14;11;3;4;0.266667;12.075898;0.125000;3.333333;150.948715;45.284614;0.785714;0.733333;0.576190;0.758621;0.016752;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.000000;[50 x 100];[180 x 360];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_02;set1_reales;24;13;11;2;4;0.266667;8.821327;0.083333;2.222222;73.511063;33.079977;0.846154;0.733333;0.620513;0.785714;0.023752;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.200000;[42 x 83];[150 x 300];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_03;set1_reales;24;13;13;0;2;0.133333;4.091774;0.000000;0.000000;0.000000;30.688308;1.000000;0.866667;0.866667;0.928571;0.030258;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_04;set1_reales;24;12;10;2;5;0.333333;8.314736;0.083333;2.777778;69.289474;24.944208;0.833333;0.666667;0.555556;0.740741;0.029696;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.500000;[33 x 67];[120 x 240];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_05;set1_reales;24;8;8;0;7;0.466667;9.291584;0.000000;0.000000;0.000000;19.910537;1.000000;0.533333;0.533333;0.695652;0.034939;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;2.000000;[25 x 50];[90 x 180];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_06;set1_reales;24;3;3;0;12;0.800000;5.091814;0.000000;0.000000;0.000000;6.364767;1.000000;0.200000;0.200000;0.333333;0.052372;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;3.000000;[17 x 33];[60 x 120];true;true;1.100000;4;false;false;3;false;false;false;false;
