Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);direccion_a_cascada;escala_inicial;tamanio_minimo;tamanio_maximo;convertir_a_gris;ecualizar_histograma;scaleFactor;minNeighbors;usar_profundidad_altura;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DF_cc_02;set235nuevo_reales;900;201;103;98;1022;0.908444;27.045019;0.108889;9.891951;294.490204;29.770691;0.512438;0.091556;0.046917;0.155354;0.521837;0.266978;./../clasificadores/haarcascade_fullbody.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_cc_03;set235nuevo_reales;900;81;45;36;1080;0.960000;16.752100;0.040000;3.840000;67.008400;17.450105;0.555556;0.040000;0.022222;0.074627;0.427659;0.155280;./../clasificadores/haarcascade_lowerbody.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_cc_04;set235nuevo_reales;900;44;0;44;1125;1.000000;14.020401;0.048889;4.888889;68.544182;14.020401;0.000000;0.000000;0.000000;-nan;-nan;-nan;./../clasificadores/haarcascade_upperbody.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_cc_05;set235nuevo_reales;900;427;23;404;1102;0.979556;26.903334;0.448889;43.971161;1207.660767;27.464838;0.053864;0.020444;0.001101;0.029639;0.107917;0.040593;./../clasificadores/haarcascade_mcs_upperbody.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ff_01;set235nuevo_reales;900;633;577;56;554;0.489832;21.318630;0.062222;3.047844;132.649261;43.522330;0.911532;0.510168;0.465035;0.654195;1.503125;0.787606;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ff_02;set235nuevo_reales;900;477;452;25;677;0.599646;22.898024;0.027778;1.665683;63.605621;38.185920;0.947589;0.400354;0.379371;0.562889;1.474075;0.744155;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;true;false;false;false;
DF_ff_03;set235nuevo_reales;900;402;380;22;748;0.663121;23.152481;0.024444;1.620961;56.594955;34.914437;0.945274;0.336879;0.318443;0.496732;1.422712;0.694444;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;true;false;false;
DF_ff_04;set235nuevo_reales;900;316;310;6;815;0.724444;22.431164;0.006667;0.482963;14.954109;30.963264;0.981013;0.275556;0.270323;0.430257;1.389572;0.648807;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;true;false;
DF_ff_05;set235nuevo_reales;900;303;295;8;831;0.738011;23.421162;0.008889;0.656009;20.818811;31.735533;0.973597;0.261989;0.255072;0.412876;1.300990;0.630881;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;true;
DF_xx_01;set235nuevo_reales;900;650;558;92;569;0.504880;22.283377;0.102222;5.160997;227.785614;44.135968;0.858462;0.495120;0.425041;0.628025;1.422932;0.748591;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];false;false;1.100000;4;false;false;3;false;false;false;false;
DF_xx_02;set235nuevo_reales;900;649;558;91;575;0.507502;21.881948;0.101111;5.131412;221.250824;43.116951;0.859784;0.492498;0.423442;0.626263;1.452474;0.748190;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;false;1.100000;4;false;false;3;false;false;false;false;
DF_xx_03;set235nuevo_reales;900;633;577;56;554;0.489832;21.251287;0.062222;3.047844;132.230240;43.384849;0.911532;0.510168;0.465035;0.654195;1.507888;0.787606;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_xx_04;set235nuevo_reales;900;544;529;15;597;0.530195;22.891903;0.016667;0.883659;38.153172;43.176355;0.972426;0.469805;0.456850;0.633533;1.467314;0.801030;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;true;false;3;false;false;false;false;
